,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
86796,78BNX8,Diesel,,,,,,,,,,,,,
86991,78BPX3,Diesel,,,,,,,,,,,,,
87016,78BRB5,Diesel,,,,,,,,,,,,,
87018,78BRB8,Diesel,,,,,,,,,,,,,
87019,78BRB9,Diesel,,,,,,,,,,,,,
87025,78BRD1,Diesel,,,,,,,,,,,,,
87032,78BRD9,Diesel,,,,,,,,,,,,,
87037,78BRF1,Diesel,,,,,,,,,,,,,
87038,78BRF2,Diesel,,,,,,,,,,,,,
87039,78BRF3,Diesel,,,,,,,,,,,,,
87040,78BRF4,Diesel,,,,,,,,,,,,,
87041,78BRF5,Diesel,,,,,,,,,,,,,
87042,78BRF6,Diesel,,,,,,,,,,,,,
87043,78BRF7,LNG,,,,,,,,,,,,,
87044,78BRF7,Diesel,,,,,,,,,,,,,
87045,78BRF8,Diesel,,,,,,,,,,,,,
87050,78BRG1,Diesel,,,,,,,,,,,,,
87052,78BRG3,Diesel,,,,,,,,,,,,,
87053,78BRG4,Diesel,,,,,,,,,,,,,
87054,78BRG6,Diesel,,,,,,,,,,,,,
87056,78BRG8,Diesel,,,,,,,,,,,,,
87057,78BRG9,LNG,,,,,,,,,,,,,
87058,78BRG9,Diesel,,,,,,,,,,,,,
87063,78BRH1,LNG,,,,,,,,,,,,,
87064,78BRH1,Diesel,,,,,,,,,,,,,
87065,78BRH2,Diesel,7.8,8.2,215.0,,,,,,,,,,
87066,78BRH3,Diesel,,,,,,,,,,,,,
87067,78BRH4,Elektriciteit,,,,,,,,,,,,,400.0
87069,78BRH6,Diesel,,,,,,,,,,,,,
87070,78BRH7,Diesel,,,,,,,,,,,,,
87071,78BRH9,Diesel,,,,,,,,,,,,,
87081,78BRJ1,LNG,,,,,,,,,,,,,
