,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
1848,77WRXT,Middenasaanhangwagen,TITAN JELSUM,04/22/2021 12:00:00 AM,2021-04-22
2279,77WTKD,Middenasaanhangwagen,WM MEYER,06/02/2021 12:00:00 AM,2021-06-02
2529,77WVHG,Middenasaanhangwagen,HAPERT,03/08/2021 12:00:00 AM,2021-03-08
2571,77WVKX,Middenasaanhangwagen,ANSSEMS,01/15/2021 12:00:00 AM,2021-01-15
2635,77WVSH,Middenasaanhangwagen,ANSSEMS,06/25/2021 12:00:00 AM,2021-06-25
2641,77WVSR,Middenasaanhangwagen,HAPERT,07/29/2021 12:00:00 AM,2021-07-29
2647,77WVTD,Middenasaanhangwagen,HENRA,09/16/2021 12:00:00 AM,2021-09-16
2670,77WVVP,Middenasaanhangwagen,BRIAN JAMES TRAILERS,02/23/2021 12:00:00 AM,2021-02-23
2691,77WVZB,Middenasaanhangwagen,UNSINN,03/04/2021 12:00:00 AM,2021-03-04
2792,77WXGL,Middenasaanhangwagen,HAPERT,01/12/2021 12:00:00 AM,2021-01-12
2816,77WXHZ,Middenasaanhangwagen,HOBBY,01/08/2021 12:00:00 AM,2021-01-08
2822,77WXJJ,Middenasaanhangwagen,HENRA,01/20/2021 12:00:00 AM,2021-01-20
2862,77WXLV,Middenasaanhangwagen,HOBBY,03/12/2021 12:00:00 AM,2021-03-12
2868,77WXNG,Middenasaanhangwagen,HULCO,09/11/2021 12:00:00 AM,2021-09-11
2871,77WXNK,Middenasaanhangwagen,HAPERT,10/13/2021 12:00:00 AM,2021-10-13
2879,77WXNX,Middenasaanhangwagen,KUIPER,03/22/2021 12:00:00 AM,2021-03-22
2880,77WXNZ,Middenasaanhangwagen,IFOR WILLIAMS,09/29/2021 12:00:00 AM,2021-09-29
2898,77WXRH,Middenasaanhangwagen,ANSSEMS,11/01/2021 12:00:00 AM,2021-11-01
2902,77WXRN,Middenasaanhangwagen,MARTZ,01/22/2021 12:00:00 AM,2021-01-22
2910,77WXSB,Middenasaanhangwagen,EDUARD,02/22/2021 12:00:00 AM,2021-02-22
2913,77WXSH,Middenasaanhangwagen,SARIS,01/13/2021 12:00:00 AM,2021-01-13
2920,77WXST,Middenasaanhangwagen,HENRA,04/17/2021 12:00:00 AM,2021-04-17
2921,77WXSV,Middenasaanhangwagen,ANSSEMS,01/30/2021 12:00:00 AM,2021-01-30
2927,77WXTJ,Middenasaanhangwagen,ANSSEMS,02/16/2021 12:00:00 AM,2021-02-16
2931,77WXTP,Middenasaanhangwagen,HULCO,01/28/2021 12:00:00 AM,2021-01-28
2951,77WXVX,Middenasaanhangwagen,HUMBAUR,03/16/2021 12:00:00 AM,2021-03-16
2959,77WXXL,Middenasaanhangwagen,HAPERT,05/06/2021 12:00:00 AM,2021-05-06
2963,77WXXS,Middenasaanhangwagen,ADRIA,02/24/2021 12:00:00 AM,2021-02-24
2970,77WXZF,Middenasaanhangwagen,HENRA,03/26/2021 12:00:00 AM,2021-03-26
2973,77WXZJ,Middenasaanhangwagen,ANSSEMS,01/18/2021 12:00:00 AM,2021-01-18
2974,77WXZK,Middenasaanhangwagen,ANSSEMS,01/02/2021 12:00:00 AM,2021-01-02
2979,77WXZS,Middenasaanhangwagen,HUMBAUR,04/02/2021 12:00:00 AM,2021-04-02
2980,77WXZT,Middenasaanhangwagen,ANSSEMS,02/23/2021 12:00:00 AM,2021-02-23
2981,77WXZV,Middenasaanhangwagen,BOCKMANN,01/16/2021 12:00:00 AM,2021-01-16
2983,77WXZZ,Middenasaanhangwagen,IFOR WILLIAMS,01/16/2021 12:00:00 AM,2021-01-16
2985,77WZBD,Middenasaanhangwagen,ANSSEMS,01/21/2021 12:00:00 AM,2021-01-21
2989,77WZBJ,Middenasaanhangwagen,HULCO,01/04/2021 12:00:00 AM,2021-01-04
2990,77WZBK,Middenasaanhangwagen,SARIS,01/23/2021 12:00:00 AM,2021-01-23
2991,77WZBL,Middenasaanhangwagen,EDUARD,01/18/2021 12:00:00 AM,2021-01-18
2993,77WZBP,Middenasaanhangwagen,SIRIUS,07/25/2021 12:00:00 AM,2021-07-25
2995,77WZBS,Middenasaanhangwagen,FENDT CARAVAN,03/01/2021 12:00:00 AM,2021-03-01
2996,77WZBT,Middenasaanhangwagen,SARIS,01/15/2021 12:00:00 AM,2021-01-15
2997,77WZBV,Middenasaanhangwagen,HAPERT,03/26/2021 12:00:00 AM,2021-03-26
2999,77WZBZ,Middenasaanhangwagen,BOCKMANN,01/08/2021 12:00:00 AM,2021-01-08
3000,77WZDB,Middenasaanhangwagen,HOBBY,01/12/2021 12:00:00 AM,2021-01-12
3001,77WZDD,Middenasaanhangwagen,HENRA,02/15/2021 12:00:00 AM,2021-02-15
3002,77WZDF,Middenasaanhangwagen,SARIS,05/18/2021 12:00:00 AM,2021-05-18
3003,77WZDG,Middenasaanhangwagen,HAPERT,01/29/2021 12:00:00 AM,2021-01-29
3004,77WZDH,Middenasaanhangwagen,ANSSEMS,04/16/2021 12:00:00 AM,2021-04-16
3005,77WZDJ,Middenasaanhangwagen,ANSSEMS,03/03/2021 12:00:00 AM,2021-03-03
